corridor_id,direction,km_marker,arrival_offset_minutes
route-gabes-thyna,inbound,5.5,26
route-gabes-thyna,outbound,6.0,24
route-gabes-thyna,inbound,6.0,24
route-gabes-thyna,outbound,6.5,26
route-gabes-thyna,inbound,6.5,23
route-gabes-thyna,outbound,7.0,28
route-gabes-thyna,inbound,7.0,21
route-gabes-thyna,outbound,7.5,30
route-gabes-thyna,inbound,7.5,19
route-gabes-thyna,outbound,8.0,31
route-gabes-thyna,inbound,8.0,18
route-gabes-thyna,outbound,8.5,33
route-gabes-thyna,inbound,8.5,16
route-gabes-thyna,outbound,9.0,35
route-gabes-thyna,inbound,9.0,14
route-gabes-thyna,outbound,9.5,36
route-gabes-thyna,inbound,9.5,13
route-gabes-thyna,outbound,10.0,38
route-gabes-thyna,inbound,10.0,11
route-gabes-thyna,outbound,10.5,40
route-gabes-thyna,inbound,10.5,9
route-gabes-thyna,outbound,11.0,41
route-gabes-thyna,inbound,11.0,7
route-gabes-thyna,outbound,11.5,43
route-gabes-thyna,inbound,11.5,6
route-gabes-thyna,outbound,12.0,45
route-gabes-thyna,inbound,12.0,4
mharza,outbound,0.0,5
mharza,inbound,0.0,31
mharza,outbound,0.5,7
mharza,inbound,0.5,29
mharza,outbound,1.0,8
mharza,inbound,1.0,27
mharza,outbound,1.5,10
mharza,inbound,1.5,26
mharza,outbound,2.0,11
mharza,inbound,2.0,24
mharza,outbound,2.5,13
mharza,inbound,2.5,23
mharza,outbound,3.0,15
mharza,inbound,3.0,21
mharza,outbound,3.5,16
mharza,inbound,3.5,19
mharza,outbound,4.0,18
mharza,inbound,4.0,18
mharza,outbound,4.5,19
mharza,inbound,4.5,16
mharza,outbound,5.0,21
mharza,inbound,5.0,15
mharza,outbound,5.5,23
mharza,inbound,5.5,13
mharza,outbound,6.0,24
mharza,inbound,6.0,11
mharza,outbound,6.5,26
mharza,inbound,6.5,10
mharza,outbound,7.0,27
mharza,inbound,7.0,8
mharza,outbound,7.5,29
mharza,inbound,7.5,7
mharza,outbound,8.0,31
mharza,inbound,8.0,5
chaker-boumarra,outbound,0.0,4
chaker-boumarra,inbound,0.0,36
chaker-boumarra,outbound,0.5,6
chaker-boumarra,inbound,0.5,34
chaker-boumarra,outbound,1.0,7
chaker-boumarra,inbound,1.0,33
chaker-boumarra,outbound,1.5,9
chaker-boumarra,inbound,1.5,31
chaker-boumarra,outbound,2.0,10
chaker-boumarra,inbound,2.0,30
chaker-boumarra,outbound,2.5,12
chaker-boumarra,inbound,2.5,28
chaker-boumarra,outbound,3.0,14
chaker-boumarra,inbound,3.0,26
chaker-boumarra,outbound,3.5,15
chaker-boumarra,inbound,3.5,25
chaker-boumarra,outbound,4.0,17
chaker-boumarra,inbound,4.0,23
chaker-boumarra,outbound,4.5,18
chaker-boumarra,inbound,4.5,22
chaker-boumarra,outbound,5.0,20
chaker-boumarra,inbound,5.0,20
chaker-boumarra,outbound,5.5,22
chaker-boumarra,inbound,5.5,18
chaker-boumarra,outbound,6.0,23
chaker-boumarra,inbound,6.0,17
chaker-boumarra,outbound,6.5,25
chaker-boumarra,inbound,6.5,15
chaker-boumarra,outbound,7.0,26
chaker-boumarra,inbound,7.0,14
chaker-boumarra,outbound,7.5,28
chaker-boumarra,inbound,7.5,12
chaker-boumarra,outbound,8.0,30
chaker-boumarra,inbound,8.0,10
chaker-boumarra,outbound,8.5,31
chaker-boumarra,inbound,8.5,9
chaker-boumarra,outbound,9.0,33
chaker-boumarra,inbound,9.0,7
chaker-boumarra,outbound,9.5,34
chaker-boumarra,inbound,9.5,6
chaker-boumarra,outbound,10.0,36
chaker-boumarra,inbound,10.0,4
soukra,outbound,0.0,4
soukra,inbound,0.0,26
soukra,outbound,0.5,6
soukra,inbound,0.5,24
soukra,outbound,1.0,7
soukra,inbound,1.0,23
soukra,outbound,1.5,9
soukra,inbound,1.5,21
soukra,outbound,2.0,10
soukra,inbound,2.0,20
soukra,outbound,2.5,12
soukra,inbound,2.5,18
soukra,outbound,3.0,13
soukra,inbound,3.0,16
soukra,outbound,3.5,15
soukra,inbound,3.5,15
soukra,outbound,4.0,16
soukra,inbound,4.0,13
soukra,outbound,4.5,18
soukra,inbound,4.5,12
soukra,outbound,5.0,20
soukra,inbound,5.0,10
soukra,outbound,5.5,21
soukra,inbound,5.5,9
soukra,outbound,6.0,23
soukra,inbound,6.0,7
soukra,outbound,6.5,24
soukra,inbound,6.5,6
soukra,outbound,7.0,26
soukra,inbound,7.0,4
bouzaien,outbound,0.0,4
bouzaien,inbound,0.0,30
bouzaien,outbound,0.5,6
bouzaien,inbound,0.5,28
bouzaien,outbound,1.0,7
bouzaien,inbound,1.0,26
bouzaien,outbound,1.5,9
bouzaien,inbound,1.5,25
bouzaien,outbound,2.0,10
bouzaien,inbound,2.0,23
bouzaien,outbound,2.5,12
bouzaien,inbound,2.5,22
bouzaien,outbound,3.0,14
bouzaien,inbound,3.0,20
bouzaien,outbound,3.5,15
bouzaien,inbound,3.5,18
bouzaien,outbound,4.0,17
bouzaien,inbound,4.0,17
bouzaien,outbound,4.5,18
bouzaien,inbound,4.5,15
bouzaien,outbound,5.0,20
bouzaien,inbound,5.0,14
bouzaien,outbound,5.5,22
bouzaien,inbound,5.5,12
bouzaien,outbound,6.0,23
bouzaien,inbound,6.0,10
bouzaien,outbound,6.5,25
bouzaien,inbound,6.5,9
bouzaien,outbound,7.0,26
bouzaien,inbound,7.0,7
bouzaien,outbound,7.5,28
bouzaien,inbound,7.5,6
bouzaien,outbound,8.0,30
bouzaien,inbound,8.0,4
route-gremda,outbound,0.0,3
route-gremda,inbound,0.0,31
route-gremda,outbound,0.5,5
route-gremda,inbound,0.5,29
route-gremda,outbound,1.0,6
route-gremda,inbound,1.0,28
route-gremda,outbound,1.5,8
route-gremda,inbound,1.5,26
route-gremda,outbound,2.0,9
route-gremda,inbound,2.0,25
route-gremda,outbound,2.5,11
route-gremda,inbound,2.5,23
route-gremda,outbound,3.0,12
route-gremda,inbound,3.0,22
route-gremda,outbound,3.5,14
route-gremda,inbound,3.5,20
route-gremda,outbound,4.0,15
route-gremda,inbound,4.0,19
route-gremda,outbound,4.5,17
route-gremda,inbound,4.5,17
route-gremda,outbound,5.0,19
route-gremda,inbound,5.0,15
route-gremda,outbound,5.5,20
route-gremda,inbound,5.5,14
route-gremda,outbound,6.0,22
route-gremda,inbound,6.0,12
route-gremda,outbound,6.5,23
route-gremda,inbound,6.5,11
route-gremda,outbound,7.0,25
route-gremda,inbound,7.0,9
route-gremda,outbound,7.5,26
route-gremda,inbound,7.5,8
route-gremda,outbound,8.0,28
route-gremda,inbound,8.0,6
route-gremda,outbound,8.5,29
route-gremda,inbound,8.5,5
route-gremda,outbound,9.0,31
route-gremda,inbound,9.0,3
teniour-kaid,outbound,0.0,3
teniour-kaid,inbound,0.0,29
teniour-kaid,outbound,0.5,5
teniour-kaid,inbound,0.5,27
teniour-kaid,outbound,1.0,6
teniour-kaid,inbound,1.0,25
teniour-kaid,outbound,1.5,8
teniour-kaid,inbound,1.5,24
teniour-kaid,outbound,2.0,9
teniour-kaid,inbound,2.0,22
teniour-kaid,outbound,2.5,11
teniour-kaid,inbound,2.5,21
teniour-kaid,outbound,3.0,13
teniour-kaid,inbound,3.0,19
teniour-kaid,outbound,3.5,14
teniour-kaid,inbound,3.5,17
teniour-kaid,outbound,4.0,16
teniour-kaid,inbound,4.0,16
teniour-kaid,outbound,4.5,17
teniour-kaid,inbound,4.5,14
teniour-kaid,outbound,5.0,19
teniour-kaid,inbound,5.0,13
teniour-kaid,outbound,5.5,21
teniour-kaid,inbound,5.5,11
teniour-kaid,outbound,6.0,22
teniour-kaid,inbound,6.0,9
teniour-kaid,outbound,6.5,24
teniour-kaid,inbound,6.5,8
teniour-kaid,outbound,7.0,25
teniour-kaid,inbound,7.0,6
teniour-kaid,outbound,7.5,27
teniour-kaid,inbound,7.5,5
teniour-kaid,outbound,8.0,29
teniour-kaid,inbound,8.0,3
el-afrane-kassasat,outbound,0.0,3
el-afrane-kassasat,inbound,0.0,33
el-afrane-kassasat,outbound,0.5,5
el-afrane-kassasat,inbound,0.5,31
el-afrane-kassasat,outbound,1.0,6
el-afrane-kassasat,inbound,1.0,29
el-afrane-kassasat,outbound,1.5,8
el-afrane-kassasat,inbound,1.5,28
el-afrane-kassasat,outbound,2.0,10
el-afrane-kassasat,inbound,2.0,26
el-afrane-kassasat,outbound,2.5,11
el-afrane-kassasat,inbound,2.5,24
el-afrane-kassasat,outbound,3.0,13
el-afrane-kassasat,inbound,3.0,23
el-afrane-kassasat,outbound,3.5,15
el-afrane-kassasat,inbound,3.5,21
el-afrane-kassasat,outbound,4.0,16
el-afrane-kassasat,inbound,4.0,20
el-afrane-kassasat,outbound,4.5,18
el-afrane-kassasat,inbound,4.5,18
el-afrane-kassasat,outbound,5.0,20
el-afrane-kassasat,inbound,5.0,16
el-afrane-kassasat,outbound,5.5,21
el-afrane-kassasat,inbound,5.5,15
el-afrane-kassasat,outbound,6.0,23
el-afrane-kassasat,inbound,6.0,13
el-afrane-kassasat,outbound,6.5,24
el-afrane-kassasat,inbound,6.5,11
el-afrane-kassasat,outbound,7.0,26
el-afrane-kassasat,inbound,7.0,10
el-afrane-kassasat,outbound,7.5,28
el-afrane-kassasat,inbound,7.5,8
el-afrane-kassasat,outbound,8.0,29
el-afrane-kassasat,inbound,8.0,6
el-afrane-kassasat,outbound,8.5,31
el-afrane-kassasat,inbound,8.5,5
el-afrane-kassasat,outbound,9.0,33
el-afrane-kassasat,inbound,9.0,3
el-ain,outbound,0.0,3
el-ain,inbound,0.0,32
el-ain,outbound,0.5,5
el-ain,inbound,0.5,30
el-ain,outbound,1.0,6
el-ain,inbound,1.0,29
el-ain,outbound,1.5,8
el-ain,inbound,1.5,27
el-ain,outbound,2.0,9
el-ain,inbound,2.0,25
el-ain,outbound,2.5,11
el-ain,inbound,2.5,24
el-ain,outbound,3.0,13
el-ain,inbound,3.0,22
el-ain,outbound,3.5,14
el-ain,inbound,3.5,21
el-ain,outbound,4.0,16
el-ain,inbound,4.0,19
el-ain,outbound,4.5,17
el-ain,inbound,4.5,17
el-ain,outbound,5.0,19
el-ain,inbound,5.0,16
el-ain,outbound,5.5,21
el-ain,inbound,5.5,14
el-ain,outbound,6.0,22
el-ain,inbound,6.0,13
el-ain,outbound,6.5,24
el-ain,inbound,6.5,11
el-ain,outbound,7.0,25
el-ain,inbound,7.0,9
el-ain,outbound,7.5,27
el-ain,inbound,7.5,8
el-ain,outbound,8.0,29
el-ain,inbound,8.0,6
el-ain,outbound,8.5,30
el-ain,inbound,8.5,5
el-ain,outbound,9.0,32
el-ain,inbound,9.0,3
port-peche,outbound,0.0,2
port-peche,inbound,0.0,17
port-peche,outbound,0.5,4
port-peche,inbound,0.5,16
port-peche,outbound,1.0,5
port-peche,inbound,1.0,14
port-peche,outbound,1.5,7
port-peche,inbound,1.5,13
port-peche,outbound,2.0,8
port-peche,inbound,2.0,11
port-peche,outbound,2.5,10
port-peche,inbound,2.5,10
port-peche,outbound,3.0,11
port-peche,inbound,3.0,8
port-peche,outbound,3.5,13
port-peche,inbound,3.5,7
port-peche,outbound,4.0,14
port-peche,inbound,4.0,5
port-peche,outbound,4.5,16
port-peche,inbound,4.5,4
port-peche,outbound,5.0,17
port-peche,inbound,5.0,2
sakiet-ezzit,outbound,0.0,4
sakiet-ezzit,inbound,0.0,37
sakiet-ezzit,outbound,0.5,6
sakiet-ezzit,inbound,0.5,36
sakiet-ezzit,outbound,1.0,7
sakiet-ezzit,inbound,1.0,34
sakiet-ezzit,outbound,1.5,9
sakiet-ezzit,inbound,1.5,33
sakiet-ezzit,outbound,2.0,10
sakiet-ezzit,inbound,2.0,31
sakiet-ezzit,outbound,2.5,12
sakiet-ezzit,inbound,2.5,30
sakiet-ezzit,outbound,3.0,13
sakiet-ezzit,inbound,3.0,28
sakiet-ezzit,outbound,3.5,15
sakiet-ezzit,inbound,3.5,27
sakiet-ezzit,outbound,4.0,16
sakiet-ezzit,inbound,4.0,25
sakiet-ezzit,outbound,4.5,18
sakiet-ezzit,inbound,4.5,24
sakiet-ezzit,outbound,5.0,19
sakiet-ezzit,inbound,5.0,22
sakiet-ezzit,outbound,5.5,21
sakiet-ezzit,inbound,5.5,21
sakiet-ezzit,outbound,6.0,22
sakiet-ezzit,inbound,6.0,19
sakiet-ezzit,outbound,6.5,24
sakiet-ezzit,inbound,6.5,18
sakiet-ezzit,outbound,7.0,25
sakiet-ezzit,inbound,7.0,16
sakiet-ezzit,outbound,7.5,27
sakiet-ezzit,inbound,7.5,15
sakiet-ezzit,outbound,8.0,28
sakiet-ezzit,inbound,8.0,13
sakiet-ezzit,outbound,8.5,30
sakiet-ezzit,inbound,8.5,12
sakiet-ezzit,outbound,9.0,31
sakiet-ezzit,inbound,9.0,10
sakiet-ezzit,outbound,9.5,33
sakiet-ezzit,inbound,9.5,9
sakiet-ezzit,outbound,10.0,34
sakiet-ezzit,inbound,10.0,7
sakiet-ezzit,outbound,10.5,36
sakiet-ezzit,inbound,10.5,6
sakiet-ezzit,outbound,11.0,37
sakiet-ezzit,inbound,11.0,4
sidi-mansour,outbound,0.0,4
sidi-mansour,inbound,0.0,45
sidi-mansour,outbound,0.5,6
sidi-mansour,inbound,0.5,43
sidi-mansour,outbound,1.0,7
sidi-mansour,inbound,1.0,41
sidi-mansour,outbound,1.5,9
sidi-mansour,inbound,1.5,40
sidi-mansour,outbound,2.0,11
sidi-mansour,inbound,2.0,38
sidi-mansour,outbound,2.5,13
sidi-mansour,inbound,2.5,36
sidi-mansour,outbound,3.0,14
sidi-mansour,inbound,3.0,35
sidi-mansour,outbound,3.5,16
sidi-mansour,inbound,3.5,33
sidi-mansour,outbound,4.0,18
sidi-mansour,inbound,4.0,31
sidi-mansour,outbound,4.5,19
sidi-mansour,inbound,4.5,30
sidi-mansour,outbound,5.0,21
sidi-mansour,inbound,5.0,28
sidi-mansour,outbound,5.5,23
sidi-mansour,inbound,5.5,26
sidi-mansour,outbound,6.0,24
sidi-mansour,inbound,6.0,24
sidi-mansour,outbound,6.5,26
sidi-mansour,inbound,6.5,23
sidi-mansour,outbound,7.0,28
sidi-mansour,inbound,7.0,21
sidi-mansour,outbound,7.5,30
sidi-mansour,inbound,7.5,19
sidi-mansour,outbound,8.0,31
sidi-mansour,inbound,8.0,18
sidi-mansour,outbound,8.5,33
sidi-mansour,inbound,8.5,16
sidi-mansour,outbound,9.0,35
sidi-mansour,inbound,9.0,14
sidi-mansour,outbound,9.5,36
sidi-mansour,inbound,9.5,13
sidi-mansour,outbound,10.0,38
sidi-mansour,inbound,10.0,11
sidi-mansour,outbound,10.5,40
sidi-mansour,inbound,10.5,9
sidi-mansour,outbound,11.0,41
sidi-mansour,inbound,11.0,7
sidi-mansour,outbound,11.5,43
sidi-mansour,inbound,11.5,6
sidi-mansour,outbound,12.0,45
sidi-mansour,inbound,12.0,4
saltnia,outbound,0.0,4
saltnia,inbound,0.0,45
saltnia,outbound,0.5,6
saltnia,inbound,0.5,43
saltnia,outbound,1.0,7
saltnia,inbound,1.0,41
saltnia,outbound,1.5,9
saltnia,inbound,1.5,40
saltnia,outbound,2.0,11
saltnia,inbound,2.0,38
saltnia,outbound,2.5,13
saltnia,inbound,2.5,36
saltnia,outbound,3.0,14
saltnia,inbound,3.0,35
saltnia,outbound,3.5,16
saltnia,inbound,3.5,33
saltnia,outbound,4.0,18
saltnia,inbound,4.0,31
saltnia,outbound,4.5,19
saltnia,inbound,4.5,30
saltnia,outbound,5.0,21
saltnia,inbound,5.0,28
saltnia,outbound,5.5,23
saltnia,inbound,5.5,26
saltnia,outbound,6.0,24
saltnia,inbound,6.0,24
saltnia,outbound,6.5,26
saltnia,inbound,6.5,23
saltnia,outbound,7.0,28
saltnia,inbound,7.0,21
saltnia,outbound,7.5,30
saltnia,inbound,7.5,19
saltnia,outbound,8.0,31
saltnia,inbound,8.0,18
saltnia,outbound,8.5,33
saltnia,inbound,8.5,16
saltnia,outbound,9.0,35
saltnia,inbound,9.0,14
saltnia,outbound,9.5,36
saltnia,inbound,9.5,13
saltnia,outbound,10.0,38
saltnia,inbound,10.0,11
saltnia,outbound,10.5,40
saltnia,inbound,10.5,9
saltnia,outbound,11.0,41
saltnia,inbound,11.0,7
saltnia,outbound,11.5,43
saltnia,inbound,11.5,6
saltnia,outbound,12.0,45
saltnia,inbound,12.0,4
sakiet-eddaier,outbound,0.0,4
sakiet-eddaier,inbound,0.0,35
sakiet-eddaier,outbound,0.5,6
sakiet-eddaier,inbound,0.5,33
sakiet-eddaier,outbound,1.0,7
sakiet-eddaier,inbound,1.0,32
sakiet-eddaier,outbound,1.5,9
sakiet-eddaier,inbound,1.5,30
sakiet-eddaier,outbound,2.0,10
sakiet-eddaier,inbound,2.0,29
sakiet-eddaier,outbound,2.5,12
sakiet-eddaier,inbound,2.5,27
sakiet-eddaier,outbound,3.0,13
sakiet-eddaier,inbound,3.0,26
sakiet-eddaier,outbound,3.5,15
sakiet-eddaier,inbound,3.5,24
sakiet-eddaier,outbound,4.0,16
sakiet-eddaier,inbound,4.0,23
sakiet-eddaier,outbound,4.5,18
sakiet-eddaier,inbound,4.5,21
sakiet-eddaier,outbound,5.0,20
sakiet-eddaier,inbound,5.0,20
sakiet-eddaier,outbound,5.5,21
sakiet-eddaier,inbound,5.5,18
sakiet-eddaier,outbound,6.0,23
sakiet-eddaier,inbound,6.0,16
sakiet-eddaier,outbound,6.5,24
sakiet-eddaier,inbound,6.5,15
sakiet-eddaier,outbound,7.0,26
sakiet-eddaier,inbound,7.0,13
sakiet-eddaier,outbound,7.5,27
sakiet-eddaier,inbound,7.5,12
sakiet-eddaier,outbound,8.0,29
sakiet-eddaier,inbound,8.0,10
sakiet-eddaier,outbound,8.5,30
sakiet-eddaier,inbound,8.5,9
sakiet-eddaier,outbound,9.0,32
sakiet-eddaier,inbound,9.0,7
sakiet-eddaier,outbound,9.5,33
sakiet-eddaier,inbound,9.5,6
sakiet-eddaier,outbound,10.0,35
sakiet-eddaier,inbound,10.0,4
ziadi,outbound,0.0,4
ziadi,inbound,0.0,29
ziadi,outbound,0.5,6
ziadi,inbound,0.5,27
ziadi,outbound,1.0,7
ziadi,inbound,1.0,26
ziadi,outbound,1.5,9
ziadi,inbound,1.5,24
ziadi,outbound,2.0,10
ziadi,inbound,2.0,23
ziadi,outbound,2.5,12
ziadi,inbound,2.5,21
ziadi,outbound,3.0,13
ziadi,inbound,3.0,20
ziadi,outbound,3.5,15
ziadi,inbound,3.5,18
ziadi,outbound,4.0,16
ziadi,inbound,4.0,16
ziadi,outbound,4.5,18
ziadi,inbound,4.5,15
ziadi,outbound,5.0,20
ziadi,inbound,5.0,13
ziadi,outbound,5.5,21
ziadi,inbound,5.5,12
ziadi,outbound,6.0,23
ziadi,inbound,6.0,10
ziadi,outbound,6.5,24
ziadi,inbound,6.5,9
ziadi,outbound,7.0,26
ziadi,inbound,7.0,7
ziadi,outbound,7.5,27
ziadi,inbound,7.5,6
ziadi,outbound,8.0,29
ziadi,inbound,8.0,4
monji-slim,outbound,0.0,4
monji-slim,inbound,0.0,29
monji-slim,outbound,0.5,6
monji-slim,inbound,0.5,27
monji-slim,outbound,1.0,7
monji-slim,inbound,1.0,26
monji-slim,outbound,1.5,9
monji-slim,inbound,1.5,24
monji-slim,outbound,2.0,10
monji-slim,inbound,2.0,23
monji-slim,outbound,2.5,12
monji-slim,inbound,2.5,21
monji-slim,outbound,3.0,13
monji-slim,inbound,3.0,20
monji-slim,outbound,3.5,15
monji-slim,inbound,3.5,18
monji-slim,outbound,4.0,16
monji-slim,inbound,4.0,16
monji-slim,outbound,4.5,18
monji-slim,inbound,4.5,15
monji-slim,outbound,5.0,20
monji-slim,inbound,5.0,13
monji-slim,outbound,5.5,21
monji-slim,inbound,5.5,12
monji-slim,outbound,6.0,23
monji-slim,inbound,6.0,10
monji-slim,outbound,6.5,24
monji-slim,inbound,6.5,9
monji-slim,outbound,7.0,26
monji-slim,inbound,7.0,7
monji-slim,outbound,7.5,27
monji-slim,inbound,7.5,6
monji-slim,outbound,8.0,29
monji-slim,inbound,8.0,4
facultes-technopole,outbound,0.0,5
facultes-technopole,inbound,0.0,37
facultes-technopole,outbound,0.5,7
facultes-technopole,inbound,0.5,35
facultes-technopole,outbound,1.0,9
facultes-technopole,inbound,1.0,33
facultes-technopole,outbound,1.5,10
facultes-technopole,inbound,1.5,31
facultes-technopole,outbound,2.0,12
facultes-technopole,inbound,2.0,30
facultes-technopole,outbound,2.5,14
facultes-technopole,inbound,2.5,28
facultes-technopole,outbound,3.0,16
facultes-technopole,inbound,3.0,26
facultes-technopole,outbound,3.5,17
facultes-technopole,inbound,3.5,24
facultes-technopole,outbound,4.0,19
facultes-technopole,inbound,4.0,23
facultes-technopole,outbound,4.5,21
facultes-technopole,inbound,4.5,21
facultes-technopole,outbound,5.0,23
facultes-technopole,inbound,5.0,19
facultes-technopole,outbound,5.5,24
facultes-technopole,inbound,5.5,17
facultes-technopole,outbound,6.0,26
facultes-technopole,inbound,6.0,16
facultes-technopole,outbound,6.5,28
facultes-technopole,inbound,6.5,14
facultes-technopole,outbound,7.0,30
facultes-technopole,inbound,7.0,12
facultes-technopole,outbound,7.5,31
facultes-technopole,inbound,7.5,10
facultes-technopole,outbound,8.0,33
facultes-technopole,inbound,8.0,9
facultes-technopole,outbound,8.5,35
facultes-technopole,inbound,8.5,7
facultes-technopole,outbound,9.0,37
facultes-technopole,inbound,9.0,5
aeroport,outbound,0.0,4
aeroport,inbound,0.0,33
aeroport,outbound,0.5,6
aeroport,inbound,0.5,31
aeroport,outbound,1.0,8
aeroport,inbound,1.0,29
aeroport,outbound,1.5,9
aeroport,inbound,1.5,27
aeroport,outbound,2.0,11
aeroport,inbound,2.0,26
aeroport,outbound,2.5,13
aeroport,inbound,2.5,24
aeroport,outbound,3.0,15
aeroport,inbound,3.0,22
aeroport,outbound,3.5,17
aeroport,inbound,3.5,20
aeroport,outbound,4.0,18
aeroport,inbound,4.0,18
aeroport,outbound,4.5,20
aeroport,inbound,4.5,17
aeroport,outbound,5.0,22
aeroport,inbound,5.0,15
aeroport,outbound,5.5,24
aeroport,inbound,5.5,13
aeroport,outbound,6.0,26
aeroport,inbound,6.0,11
aeroport,outbound,6.5,27
aeroport,inbound,6.5,9
aeroport,outbound,7.0,29
aeroport,inbound,7.0,8
aeroport,outbound,7.5,31
aeroport,inbound,7.5,6
aeroport,outbound,8.0,33
aeroport,inbound,8.0,4
